,idx,name
0,1001,코스피
1,1002,코스피 대형주
2,1003,코스피 중형주
3,1004,코스피 소형주
4,1005,음식료품
5,1006,섬유의복
6,1007,종이목재
7,1008,화학
8,1009,의약품
9,1010,비금속광물
10,1011,철강금속
11,1012,기계
12,1013,전기전자
13,1014,의료정밀
14,1015,운수장비
15,1016,유통업
16,1017,전기가스업
17,1018,건설업
18,1019,운수창고업
19,1020,통신업
20,1021,금융업
21,1022,
22,1024,증권
23,1025,보험
24,1026,서비스업
25,1027,제조업
26,1028,코스피 200
27,1034,코스피 100
28,1035,코스피 50
29,1150,코스피 200 커뮤니케이션서비스
30,1151,코스피 200 건설
31,1152,코스피 200 중공업
32,1153,코스피 200 철강/소재
33,1154,코스피 200 에너지/화학
34,1155,코스피 200 정보기술
35,1156,코스피 200 금융
36,1157,코스피 200 생활소비재
37,1158,코스피 200 경기소비재
38,1159,코스피 200 산업재
39,1160,코스피 200 헬스케어
40,1167,코스피 200 중소형주
41,1182,코스피 200 초대형제외 지수
42,1224,코스피 200 비중상한 30%
43,1227,코스피 200 비중상한 25%
44,1232,코스피 200 비중상한 20%
45,1244,코스피200제외 코스피지수
46,1894,코스피 200 TOP 10
47,2001,코스닥
48,2002,코스닥 대형주
49,2003,코스닥 중형주
50,2004,코스닥 소형주
51,2012,기타서비스
52,2015,코스닥 IT
53,2024,제조업
54,2026,건설
55,2027,유통
56,2029,운송
57,2031,금융
58,2037,오락·문화
59,2041,통신방송서비스
60,2042,IT S/W & SVC
61,2043,IT H/W
62,2056,음식료·담배
63,2058,섬유·의류
64,2062,종이·목재
65,2063,출판·매체복제
66,2065,화학
67,2066,제약
68,2067,비금속
69,2068,금속
70,2070,기계·장비
71,2072,일반전기전자
72,2074,의료·정밀기기
73,2075,운송장비·부품
74,2077,기타제조
75,2151,통신서비스
76,2152,방송서비스
77,2153,인터넷
78,2154,디지털컨텐츠
79,2155,소프트웨어
80,2156,컴퓨터서비스
81,2157,통신장비
82,2158,정보기기
83,2159,반도체
84,2160,IT부품
85,2181,코스닥 우량기업부
86,2182,코스닥 벤처기업부
87,2183,코스닥 중견기업부
88,2184,코스닥 기술성장기업부
89,2203,코스닥 150
90,2212,코스닥 150 소재
91,2213,코스닥 150 산업재
92,2214,코스닥 150 필수소비재
93,2215,코스닥 150 자유소비재
94,2216,코스닥 150 정보기술
95,2217,코스닥 150 헬스케어
96,2218,코스닥 150 커뮤니케이션서비스
